Designator,Mid X,Mid Y,Rotation,Layer
32K-Y2,124.8,-80.7,90.0,top
5V-1,136.649999,-55.7,180.0,top
8M-Y1,123.8,-86.2,0.0,top
ADC1,112.2,-116.45,180.0,top
BMI270-1,135.0,-98.0,90.0,top
BMP390-1,119.9,-99.8,0.0,top
BT0,111.0,-53.5,90.0,top
BUZZER1,149.35,-101.25,270.0,top
C1,142.4,-94.8,0.0,top
C10,129.0,-94.9,180.0,top
C11,143.1,-93.2,0.0,top
C12,144.0,-77.6,0.0,top
C13,129.3,-75.2,0.0,top
C14,126.9,-93.2,0.0,top
C2,145.5,-80.2,0.0,top
C25,152.3,-66.5,270.0,top
C26,144.7,-72.15,0.0,top
C27,138.0,-99.5,270.0,top
C28,134.9,-100.8,0.0,top
C29,122.2,-99.6,270.0,top
C30,119.6,-97.5,180.0,top
C31,135.4,-67.9,90.0,top
C32,160.4,-97.4,180.0,top
C33,160.4,-104.9,180.0,top
C5,124.0,-77.8,180.0,top
C6,122.0,-81.9,180.0,top
C7,115.2,-59.3,270.0,top
C8,124.3,-83.5,0.0,top
C9,125.2,-89.6,90.0,top
D1,147.0,-60.72,180.0,top
FLASH1,129.8,-69.3,90.0,top
I2C_1,103.4,-62.0,90.0,top
I2C_2,154.0,-116.5,180.0,top
J1,103.8,-107.0,90.0,top
J2,103.8,-92.0,90.0,top
J3,103.8,-77.0,90.0,top
LDO-1,146.4,-67.25,0.0,top
LED1,164.3,-94.5,180.0,top
LED2,164.2875,-92.8,180.0,top
LED3,164.2875,-91.1,180.0,top
LED4,164.3125,-89.4,180.0,top
NEO1,165.75,-99.1,0.0,top
NEO2,165.75,-106.6,0.0,top
Q1,147.7875,-108.5,180.0,top
Q2,112.2,-85.1,270.0,top
Q3,109.4375,-81.1,270.0,top
Q4,109.4,-76.1,270.0,top
Q5,111.8,-70.6,270.0,top
Q6,109.2,-67.15,270.0,top
R1,111.8,-59.3,270.0,top
R11,125.2,-64.0,270.0,top
R12,126.9,-64.0,270.0,top
R13,120.7,-60.2,180.0,top
R14,128.1,-60.2,0.0,top
R15,135.4,-71.1,270.0,top
R16,109.3,-61.9,270.0,top
R17,107.6,-61.9,270.0,top
R18,153.9,-110.1,0.0,top
R19,153.9,-111.8,0.0,top
R2,117.2,-59.3,90.0,top
R20,143.65,-101.375,90.0,top
R21,149.35,-94.3,90.0,top
R22,143.95,-107.55,0.0,top
R23,161.2375,-94.5,0.0,top
R24,161.225,-92.8,0.0,top
R25,161.225,-91.1,0.0,top
R26,161.25,-89.4,0.0,top
R3,114.55,-83.1625,0.0,top
R4,111.8,-79.15,0.0,top
R5,111.8,-74.1,0.0,top
R6,114.25,-68.65,0.0,top
R7,111.55,-65.25,0.0,top
R8,111.3,-105.1,180.0,top
R9,113.7,-104.3,270.0,top
RST1,116.0,-53.5,90.0,top
SPI2,126.2,-116.45,180.0,top
STM32F407-UC1,135.0,-85.0,270.0,top
UART1,140.2,-116.45,180.0,top
UART2,149.8,-53.5215,0.0,top
USBC-1,126.0,-52.7,180.0,top
USD1,160.0,-80.0,90.0,top
